,xml_link,title,image_href,description,show_link,number_episodes,avg_duration_min,explicit_frequency,birthday,,,zodiac
1,https://feeds.megaphone.fm/PPY8435290482,Scaling Global,"https://megaphone.imgix.net/podcasts/27c61cfa-bf11-11e7-bea6-2fe4bbcdb29a/image/uploads_2F1516132441675-jyx97mpg86c-c9bcdec435dcdbe8e865833b3501ee00_2Fhsbc_redux_tile.jpg?ixlib=rails-4.2.0&max-w=3000&max-h=3000&fit=crop&auto=format,compress","Think you’re ready to set up shop in another country? Think again. In collaboration with HSBC, Slate Studios brings you Scaling Global: real-life accounts of what it takes to expand a business internationally. Join host Christina Wallace in unpacking the issues that dominate the global economic conversation, and hear from business leaders who've found the keys to success on foreign soil.",http://www.business.us.hsbc.com/en/capability/growth,3,23,no,"Tue, 14 Nov 2017 05:00:00 -0000",,,Aries
2,https://www.sermonaudio.com/rss_source.asp?sourceid=cornerstone,Cornerstone Church of Orlando,https://vps.sermonaudio.com/resize_image/broadcasters/albumart/1400/1400/cornerstone.1651003726.jpg,The newest sermons from Cornerstone Baptist Church of Orlando on SermonAudio.,https://www.sermonaudio.com/cornerstone,100,NA,clean,"Mon, 14 Feb 2022 06:35 GMT",,,Leo
3,https://feeds.megaphone.fm/ktsmoneymatters/,KTs Money Matters,"https://megaphone.imgix.net/podcasts/88df72e4-66da-11e9-8226-53b9631350bb/image/uploads_2F1563543097693-lrik1mqsj2-78d5d7fd11999c1af9fcbe1a5e046c1c_2FCSR-KTs-Money-Matters.png?ixlib=rails-4.2.0&max-w=3000&max-h=3000&fit=crop&auto=format,compress","Working with your investments, retirement, insurance, estate or tax planning or just dealing with everyday expenses- your money matters. Let KT Thomas help you make the most of it. This is Money Matters.",https://ktsmoneymatters.com,134,21,no,"Mon, 08 Jan 2018 03:34:00 -0000",,,Sagitarius
4,https://www.omnycontent.com/d/playlist/a7b0bd27-d748-4fbe-ab3b-a6fa0049bcf6/552f0803-6513-4f85-ba4f-ae3c01697922/293fe415-2f19-444e-b0b3-ae3c01697935/podcast.rss,Speedway Soccer,https://www.omnycontent.com/d/playlist/a7b0bd27-d748-4fbe-ab3b-a6fa0049bcf6/552f0803-6513-4f85-ba4f-ae3c01697922/293fe415-2f19-444e-b0b3-ae3c01697935/image.jpg?t=1644875767&size=Large,Nashville's Independent Soccer News,https://speedwaysoccer.podbean.com/,100,48,clean,"Tue, 23 Feb 2021 19:16:59 +0000",,,Cancer
5,https://feeds.feedburner.com/BethanyBaptistChurchSermons,"Bethany Baptist Church, Bellflower CA",NO IMAGE,"Visit us at http://bethanybaptist.church

10010 Somerset Blvd.
Bellflower, CA 90706",http://bethanybaptistbellflower.blogspot.com/,150,NA,no,"Sun, 05 Nov 2017 22:44:00 +0000",,,Scorpio
6,https://feeds.simplecast.com/o3EW0h_r,MARVELS,https://image.simplecastcdn.com/images/d2492694-d063-436f-8585-d9ce71a7f7d0/c7dd811b-73ba-42b0-af08-53d799672804/3000x3000/image.jpg?aid=rss_feed,"Based on the graphic novel by Kurt Busiek and Alex Ross, Marvels takes place in the aftermath of the Fantastic Four’s battle with Galactus, high above New York City for the fate of the world. One intrepid photographer, an ambitious college student, and a cynical journalist embark on an investigation to confirm or debunk one of the most super-powered conspiracy theories of all time.",http://marvelspodcast.com/,12,NA,no,"Tue, 25 Feb 2020 17:00:00 +0000",,,Pisces
7,https://feeds.buzzsprout.com/1569061.rss,Marketing Mambo,https://storage.buzzsprout.com/variants/gzbqvxpuc141ptfyeqecabf4668o/5cfec01b44f3e29fae1fb88ade93fc4aecd05b192fbfbc2c2f1daa412b7c1921.jpg,"Marketing Mambo is a fun and fast-paced conversation with bright and fascinating marketers from around the globe. Join host and long-time marketing executive, Terry McDougall, as she ""cha-cha-chats"" with marketers about their perspectives on the profession as well as their views on trends and issues in the world of marketing. Terry McDougall is an Executive and Career Coach and author of Amazon best-seller Winning the Game of Work: Career Happiness and Success on Your Own Terms. Before becoming a full-time coach, she spent her career as a marketer and still has an enduring passion for all things marketing and works with many leaders in the marketing, advertising and communications fields. For more information about Terry, visit her website at https://www.terrybmcdougall.com or on LinkedIn at https://www.linkedin.com/in/terrybmcdougall. ",https://www.marketingmambo.net,87,37,FALSE,"Wed, 30 Dec 2020 16:00:00 -0600",,,Taurus
8,https://audioboom.com/channels/5030767.rss,Success Is In The Mind with Oliver Bruce,https://images.theabcdn.com/i/40289112.jpg,"A podcast where we speak to founders and entrepreneurs from businesses you’ve always wanted to know more about. We delve into the formative years of their business lives and ask those with the inside track on start-up and scale-up life the questions I wish I knew the answers to when I started out so you should too!

So, when should you raise VC funding? Should founders give all employees equity? And what do the acronyms banded around in boardrooms like SEIS, EIS, TAM and VAT actually mean for you as a founder? We shed light on just how many founders are neurologically diverse and show you how to get through times when the things get tough, as they will...

Hosted by me Oliver Bruce a Dyslexic, Dyspraxic entrepreneur with ADHD my business journey so far really exciting. I have built multi-million-pound businesses, I have invested at Seed and Series A stage and I have launched this podcast now ranked in the top 5% of business podcast globally and guess what, I have loved every minute as I hope you do to!

Recent winners of Campaign Publishing (https://www.campaignlive.co.uk/article/campaign-publishing-awards-2021-podcast-year-%E2%80%93-business-media/1715626) business podcast of the year with judges saying ""This podcast has identified a niche in the market and sets out to inspire the next generation of entrepreneurs honestly and ethically""

To find out more visit http://successpodcast.co.uk",https://www.successpodcast.co.uk/,66,42,no,"Tue, 04 Aug 2020 07:41:00 +0000",,,Virgo
9,https://www.spreaker.com/show/4993862/episodes/feed,Art Sense,https://d3wo5wojvuv7l.cloudfront.net/t_rss_itunes_square_1400/images.spreaker.com/original/4e8baf558990deb19c9cadb3b351a6af.jpg,"Art Sense educates and informs listeners about the past, present and future of art. Each week host Craig Gould brings listeners conversations with authors, art historians, curators, museum directors, and contemporary artists which help us answer the questions posited by Paul Gauguin: Where Do We Come From? What Are We? Where Are We Going?",https://canvia.art/blogs/news,92,48,clean,"Tue, 29 Jun 2021 22:22:19 +0000",,,Capricorn
10,https://feed.podbean.com/footnotespodcast/feed.xml,Footnotes: A History Podcast,https://deow9bq0xqvbj.cloudfront.net/image-logo/5498745/Footnotes_Art_V4_COPY_FOR_UPLOAD.jpg,"A History Podcast focusing on forgotten moments, people on the wrong side, and those who lost.",https://footnotespodcast.podbean.com,18,NA,no,"Tue, 23 Jul 2019 12:56:03 -0700",,,Gemini
